類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,Latitude,Longitude
大樓,956,西門里,金門縣金城鎮西門里民權路202號,24.43608，118.31739,1,158,金城分局,,24.43608,118.31739
大樓,957,西門里,金門縣金城鎮西門里民權路226巷4弄10號,24.43337，118.31241,1,114,金城分局,,24.43337,118.31241
公寓,958,榜林村,金門縣金寧鄉榜林村伯玉路一段234-1號,24.43324，118.32493,1,300,金城分局,,24.43324,118.32493
公寓,959,東門里,金門縣金城鎮東門里民族路93巷5弄17號,24.43384，118.31195,1,165,金城分局,,24.43384,118.31195
公寓,960,榜林村,金門縣金寧鄉榜林村伯玉路一段232-3號,24.43662，118.32786,1,473,金城分局,,24.43662,118.32786
公寓,962,盤山村,金門縣金寧鄉盤山村頂堡5-9號,24.44742，118.34083,1,350,金城分局,,24.44742,118.34083
湖埔國小,963,湖埔村,金門縣金寧鄉湖埔村湖下196號,24.4322，118.33032,1,350,金城分局,,24.4322,118.33032
大樓,964,榜林村,金門縣金寧鄉榜林村伯玉路一段234號,24.43782，118.32859,1,284,金城分局,,24.43782,118.32859
金門縣議會,965,東門里,金門縣金城鎮東門里金山路17之2號,24.42829，118.32304,1,644,金城分局,,24.42829,118.32304
大樓,966,湖埔村,金門縣金寧鄉湖埔村湖峰一街8號,24.45251，118.30497,1,133,金城分局,,24.45251,118.30497
大樓,967,湖埔村,金門縣金寧鄉湖埔村湖下293號,24.45804，118.30545,1,1279,金城分局,,24.45804,118.30545
大樓,968,北門里,金門縣金城鎮北門里珠浦北路29巷6號,24.43378，118.317,1,282,金城分局,,24.43378,118.317
公寓,969,盤山村,金門縣金寧鄉盤山村25鄰伯玉路二段680巷213號,24.44398，118.34353,1,398,金城分局,,24.44398,118.34353
大樓,970,湖埔村,金門縣金寧鄉湖埔村26鄰湖峰二街18號,24.4559，118.30691,1,365,金城分局,,24.4559,118.30691
大樓,971,湖埔村,金門縣金寧鄉湖埔村26鄰湖峰路18號,24.45365，118.30598,1,98,金城分局,,24.45365,118.30598
金門醫院,1,新市里,金門縣金湖鎮新市里復興路2之1號,24.44136，118.41886,1,3146人,金湖分局,,24.44136,118.41886
榮民服務處,2,新市里,金門縣金湖鎮新市里自強路2之1號,24.44082，118.41553,1,160人,金湖分局,,24.44082,118.41553
金湖國小,3,新市里,金門縣金湖鎮新市里林森路12號,24.44356，118.4158,1,222人,金湖分局,,24.44356,118.4158
金湖鎮公所,4,新市里,金門縣金湖鎮林森路2號,24.44131，118.41701,1,608人,金湖分局,,24.44131,118.41701
金門監獄,5,新市里,金門縣金湖鎮新市里復興路1之5號,24.44186，118.42065,1,83人,金湖分局,,24.44186,118.42065
山外車站,6,山外里,金門縣金湖鎮山外里黃海路90之2號,24.44222，118.4141,1,88人,金湖分局,,24.44222,118.4141
金湖分局,7,山外里,金門縣金湖鎮山外里黃海路90之3號,24.44195，118.41378,1,69人,金湖分局,,24.44195,118.41378
緊急避難所,8,山外里,金門縣金湖鎮山外里山外80-3號,24.44562，118.4151,1,497人,金湖分局,,24.44562,118.4151
開瑄國小,9,瓊林里,金門縣金湖鎮瓊林里瓊林9之1號,24.44543，118.37707,1,197人,金湖分局,,24.44543,118.37707
正義里辦公室,10,正義里,金門縣金湖鎮正義里成功65之1號,24.4391，118.39015,1,333人,金湖分局,,24.4391,118.39015
正義國小,11,正義里,金門縣金湖鎮正義里成功129號,24.43988，118.38821,1,167人,金湖分局,,24.43988,118.38821
柏村國小-行政大樓,12,料羅里,金門縣金湖鎮料羅里新塘10號,24.42202，118.43835,1,215人,金湖分局,,24.42202,118.43835
金沙鎮公所,13,汶沙里,金門縣金沙鎮汶沙里環島東路112號,24.48889，118.41313,1,104人,金湖分局,,24.48889,118.41313
金沙國小-行政大樓,14,汶沙里,金門縣金沙鎮汶沙里后浦頭117號,24.48846，118.41213,1,244人,金湖分局,,24.48846,118.41213
安瀾國小,15,三山里,金門縣金沙鎮三山里碧山81號,24.48252，118.43783,1,56人,金湖分局,,24.48252,118.43783
台灣銀行,16,新市里,金門縣金湖鎮新市里復興路4號,24.4407，118.41732,1,83人,金湖分局,,24.4407,118.41732
山外郵局,17,新市里,金門縣金湖鎮新市里林森路39號,24.44225，118.41537,1,491人,金湖分局,,24.44225,118.41537
金湖大飯店,18,新市里,金門縣金湖鎮新市里太湖路二段198號,24.43924，118.41938,1,9667人,金湖分局,,24.43924,118.41938
台灣工商發展股份有限公司,19,瓊林里,金門縣金湖鎮瓊林里中山路8之6號,24.44165，118.36273,1,167人,金湖分局,,24.44165,118.36273
述美國小-圖資大樓,20,西園里,金門縣金沙鎮沙青路999號,24.51413，118.41091,1,213人,金湖分局,,24.51413,118.41091
金合成建設大樓,21,新湖里,金門縣金湖鎮新湖里市港路162號,24.43818，118.4116,1,126人,金湖分局,,24.43818,118.4116
崑庭社區大樓,22,新湖里,金門縣金湖鎮新湖里市港三路137號,24.43795，118.41183,1,223人,金湖分局,,24.43795,118.41183
大樓,23,新湖里,金門縣金湖鎮新湖里市港三路145號,24.43787，118.41197,1,500人,金湖分局,,24.43787,118.41197
鴻偉大樓,24,新湖里,金門縣金湖鎮新湖里市港三路156號,24.43817，118.41228,1,563人,金湖分局,,24.43817,118.41228
崑庭風荷大樓,25,新湖里,金門縣金湖鎮新湖里市港三路163號,24.43812，118.41222,1,361人,金湖分局,,24.43812,118.41222
金閣會館大樓,26,新湖里,金門縣金湖鎮新湖里市港三路231號,24.4388，118.41079,2,2027人,金湖分局,,24.4388,118.41079
崑庭風鎮大樓,27,新湖里,金門縣金湖鎮新湖里市港三路235號,24.43891，118.41069,1,284人,金湖分局,,24.43891,118.41069
英沐建設大樓,28,新湖里,金門縣金湖鎮新湖里市港三路243號,24.43877，118.41033,1,137人,金湖分局,,24.43877,118.41033
崑庭風?大樓,29,新湖里,金門縣金湖鎮新湖里市港五路138號之1,24.43892，118.41279,1,225人,金湖分局,,24.43892,118.41279
雙城匯大樓,30,新湖里,金門縣金湖鎮新湖里市港五路151號,24.43824，118.41258,1,450人,金湖分局,,24.43824,118.41258
崑庭建設大樓,31,新湖里,金門縣金湖鎮新湖里市港五路163號1樓之1,24.43846，118.41252,1,567人,金湖分局,,24.43846,118.41252
SOLLIS大樓,32,新湖里,金門縣金湖鎮新湖里市港五路168號,24.43863，118.41262,2,616人,金湖分局,,24.43863,118.41262
大樓,33,新湖里,金門縣金湖鎮新湖里市港六路110號1樓,24.43892，118.41454,1,76人,金湖分局,,24.43892,118.41454
樸樂大樓,34,新湖里,金門縣金湖鎮新湖里市港六路231號,24.43999，118.41139,2,2027人,金湖分局,,24.43999,118.41139
京門社區大樓,35,新湖里,金門縣金湖鎮新湖里赤東路19號之1,24.44107，118.41171,1,243人,金湖分局,,24.44107,118.41171
大樓,36,新湖里,金門縣金湖鎮新湖里赤東路68號,24.44023，118.41095,1,198人,金湖分局,,24.44023,118.41095
尚達建設大樓,37,新湖里,金門縣金湖鎮新湖里赤東路150號,24.43883，118.41019,1,117人,金湖分局,,24.43883,118.41019
金湖國小-勤學樓,38,新市里,金門縣金湖鎮新市里林森路12號,24.44268，118.41593,1,559人,金湖分局,,24.44268,118.41593
大樓,39,蓮庵里,金門縣金湖鎮蓮庵里三谿橋3-6號,24.43187，118.43148,1,485人,金湖分局,,24.43187,118.43148
金湖消防分隊,40,新市里,金門縣金湖鎮新市里士校路2號,24.44385，118.42528,1,301人,金湖分局,,24.44385,118.42528
中油金馬行銷中心,41,料羅里,金門縣金湖鎮料羅里料羅160號,24.42798，118.42921,1,355人,金湖分局,,24.42798,118.42921
景美公寓大樓,42,新湖里,金門縣金湖鎮新湖里市港路138號,24.43792，118.4114,1,221人,金湖分局,,24.43792,118.4114
大樓,43,新湖里,金門縣金湖鎮新湖里市港五路176號,24.43877，118.41207,1,464人,金湖分局,,24.43877,118.41207
福喜居大樓,44,新湖里,金門縣新湖里市港三路167號,24.43827，118.41197,1,290人,金湖分局,,24.43827,118.41197
大樓,45,新湖里,金門縣金湖鎮新湖里市港五路172號,24.43876，118.41238,2,517人,金湖分局,,24.43876,118.41238
樺翔建設大樓,46,浦山里,金門縣金沙鎮浦山里洋山202號,24.48884，118.39794,1,408人,金湖分局,,24.48884,118.39794
開瑄國小,47,瓊林里,金門縣金湖鎮瓊林里瓊林9之1號,24.44585，118.37774,1,374人,金湖分局,,24.44585,118.37774
